ID,FED,TITLE,LASTNAME,FIRSTNAME,GAMES,RATING,RD,STATUS
896043,PHI,,Jacinto, Lelouch,0,Unrated,0,No 960 Games
896188,PHI,CCM,Javier, Guilbert,0,Unrated,0,No 960 Games
896330,PHI,,Javier, Kelvin,0,Unrated,0,No 960 Games
896032,PHI,,Jucutan, Eduardo,0,Unrated,0,No 960 Games
896004,PHI,,Khu, K.,0,Unrated,0,No 960 Games
896016,PHI,CCM,Lachica Jr., Cesar G.,0,Unrated,0,No 960 Games
896304,PHI,,Lagria, Michael Antonio,0,Unrated,0,No 960 Games
896407,PHI,,Leonor, Liezel Anne,0,Unrated,0,No 960 Games
896019,PHI,,Linatoc, Ben,0,Unrated,0,No 960 Games
896226,PHI,,Lopez Cacayan, Clifford,0,Unrated,0,No 960 Games
896367,PHI,CCE,Lopez, Henry,0,Unrated,0,No 960 Games
896194,PHI,,Lopez, Saldy,0,Unrated,0,No 960 Games
896072,PHI,,Mabeza, Clark Ian,0,Unrated,0,No 960 Games
896404,PHI,,Macorol, Rewil,0,Unrated,0,No 960 Games
896285,PHI,,Madrid, Rei.iane,0,Unrated,0,No 960 Games
896025,PHI,,Malagar, Leo,0,Unrated,0,No 960 Games
896264,PHI,,Manilay, Frederick,0,Unrated,0,No 960 Games
896225,PHI,,Marayag, Jose Salvador,0,Unrated,0,No 960 Games
896037,PHI,,Masangcay, Felix-Joey M.,0,Unrated,0,No 960 Games
896286,PHI,,Mauricio, Darwin,0,Unrated,0,No 960 Games
896220,PHI,,Medina, Ferdimarc,0,Unrated,0,No 960 Games
896015,PHI,,Mendoza, Ruel P.,0,Unrated,0,No 960 Games
896161,PHI,,Mialdo, Arfe,0,Unrated,0,No 960 Games
896360,PHI,,Miranda, Carl Josh,0,Unrated,0,No 960 Games
896338,PHI,,Moreno, Luis Zamora,0,Unrated,0,No 960 Games
896002,PHI,,Ng, Willy C.,0,Unrated,0,No 960 Games
896096,PHI,,Nuto, Marceliano Jr.,0,Unrated,0,No 960 Games
896031,PHI,,Obadilla, Mitchelle,0,Unrated,0,No 960 Games
896221,PHI,,Obana, Arbie Rheiza,0,Unrated,0,No 960 Games
896214,PHI,CCE,Obana, Servillano jr,0,Unrated,0,No 960 Games
511689,PHI,,Ong, Allan,0,Unrated,0,No 960 Games
896117,PHI,,Ozoa, Manuel Zosimo,0,Unrated,0,No 960 Games
896070,PHI,,Pabico, Cim,0,Unrated,0,No 960 Games
896029,PHI,CCM,Padilla, Eribert S.,0,Unrated,0,No 960 Games
896306,PHI,CCM,Pagaran, Michael Joseph,0,Unrated,0,No 960 Games
896007,PHI,,Page, Edmund C.,0,Unrated,0,No 960 Games
896005,PHI,,Pagunsan, Franklin M.,0,Unrated,0,No 960 Games
511763,PHI,,Pagunsan, Nilo M.,0,Unrated,0,No 960 Games
896277,PHI,,Pahamtang, Rigil Kent Rosell,0,Unrated,0,No 960 Games
896336,PHI,,Paraguya, Voltaire Marc,0,Unrated,0,No 960 Games
896337,PHI,,Paraguya, Yuri Lei,0,Unrated,0,No 960 Games
896006,PHI,,Pascual, Orlando B.,0,Unrated,0,No 960 Games
896082,PHI,,Pelias, Allan,0,Unrated,0,No 960 Games
896062,PHI,CCM,Perez, Brigiliano,0,Unrated,0,No 960 Games
896231,PHI,,Perez, Elah Sarelle,0,Unrated,0,No 960 Games
896308,PHI,,Pesigan, Rusty Joshua,0,Unrated,0,No 960 Games
896256,PHI,,phua, marvin,0,Unrated,0,No 960 Games
896262,PHI,,Piel, Jaymiel,0,Unrated,0,No 960 Games
896282,PHI,,Posadas, Jesus Basilio,0,Unrated,0,No 960 Games
896268,PHI,,Ramones, Romark,0,Unrated,0,No 960 Games
896222,PHI,,Ramos, Norwin,0,Unrated,0,No 960 Games
896349,PHI,CCM,Ricafort, Kleizmer,0,Unrated,0,No 960 Games
896251,PHI,CCM,Rosales, Ralph Christian,0,Unrated,0,No 960 Games
896345,PHI,,Rosini, Josh,0,Unrated,0,No 960 Games
896378,PHI,,Sampang, Prince Diether,0,Unrated,0,No 960 Games
896023,PHI,,San Juan, Penn,0,Unrated,0,No 960 Games
896342,PHI,,Sanchez, Marfred,0,Unrated,0,No 960 Games
896152,PHI,,Santos, Joseph Rodolfo,0,Unrated,0,No 960 Games
896351,PHI,,Scott, Peter,0,Unrated,0,No 960 Games
896236,PHI,CCE,Simplina Ubeda, Roma Aurora,0,Unrated,0,No 960 Games
517765,PHI,CCM,Simplina, Arthur,0,Unrated,0,No 960 Games
896207,PHI,IM,Simplina, Pancho Amor,0,Unrated,0,No 960 Games
896212,PHI,,Simplina, Roma Asea,0,Unrated,0,No 960 Games
896228,PHI,,Sodela, Jaycol,0,Unrated,0,No 960 Games
896008,PHI,CCM,Sopungco, Alwin A.,0,Unrated,0,No 960 Games
896366,PHI,,Sta.Ana, Jacob,0,Unrated,0,No 960 Games
896323,PHI,,Suter, Nathalie,0,Unrated,0,No 960 Games
896325,PHI,,Suter, Nayelie,0,Unrated,0,No 960 Games
896013,PHI,,Tabada, Jobannie C.,0,Unrated,0,No 960 Games
896312,PHI,,Tabanao, Neil Bryan,0,Unrated,0,No 960 Games
896010,PHI,CCM,Tabudlong, Ronnie M.,0,Unrated,0,No 960 Games
896401,PHI,,Tabudlong, Zsuzsa,0,Unrated,0,No 960 Games
896018,PHI,,Tacda, Vincent,0,Unrated,0,No 960 Games
896322,PHI,,Taguba, Jesus Caesar,0,Unrated,0,No 960 Games
896363,PHI,,Talibo, Warlito Jr.,0,Unrated,0,No 960 Games
896216,PHI,,Tamani, Donald,0,Unrated,0,No 960 Games
896014,PHI,,Tamayo, Fernando Damaso,0,Unrated,0,No 960 Games
896051,PHI,,Tamayo, Joseph Emmanuel,0,Unrated,0,No 960 Games
896039,PHI,,Tan, Rufilo Jr.,0,Unrated,0,No 960 Games
896355,PHI,,Tapic, King Daniel,0,Unrated,0,No 960 Games
896240,PHI,CCM,Tautho, Diego,0,Unrated,0,No 960 Games
896009,PHI,,Taylor, Jefferson U.,0,Unrated,0,No 960 Games
896238,PHI,,Timbreza, Hanz,0,Unrated,0,No 960 Games
896011,PHI,,Tolentino, Angelo M.,0,Unrated,0,No 960 Games
896035,PHI,,Tuason III, Joseph,0,Unrated,0,No 960 Games
896227,PHI,,Tugade, Jefferson,0,Unrated,0,No 960 Games
896185,PHI,,Valdez, Mark Dominick,0,Unrated,0,No 960 Games
896045,PHI,,Vegara, Ron,0,Unrated,0,No 960 Games
896049,PHI,,Vergara, Ron,0,Unrated,0,No 960 Games
896127,PHI,,Yen, Alvin,0,Unrated,0,No 960 Games
896315,PHI,CCE,Suter, Anatalio,0,Unrated,0,No 960 Games
